Country,Happiness score,Year,latitude,longitude,GDP,Healthy life expectancy,Corruption
Saudi Arabia,0.58,2017,23.885942,45.079162,1.53062355518341,0.590148329734802,0.27343225479126
Trinidad and Tobago,0.53,2017,10.691803,-61.222503,1.36135590076447,0.519983291625977,0.0089648161083459
Kuwait,0.51,2017,29.31166,47.481766,1.63295245170593,0.632105708122253,0.215159550309181
Slovakia,0.51,2017,48.669026,19.699024,1.32539355754852,0.712732911109924,0.0242108516395092
Bahrain,0.5,2017,25.930414,50.637772,1.48841226100922,0.653133034706116,0.257042169570923
Malaysia,0.5,2017,4.210484,101.975766,1.29121541976929,0.618784427642822,0.0656007081270218
Nicaragua,0.5,2017,12.865416,-85.207229,0.737299203872681,0.653095960617065,0.130687981843948
Ecuador,0.48,2017,-1.831239,-78.183406,1.00082039833069,0.685636222362518,0.140134647488594
El Salvador,0.48,2017,13.794185,-88.89653,0.909784495830536,0.596018552780151,0.0899809598922729
Poland,0.47,2017,51.919438,19.145136,1.29178786277771,0.699475347995758,0.0593078061938286
Uzbekistan,0.47,2017,41.377491,64.585262,0.786441087722778,0.498272627592087,0.246528223156929
Italy,0.47,2017,41.87194,12.56738,1.39506661891937,0.853144347667694,0.0280280914157629
Russia,0.47,2017,61.52401,105.318756,1.28177809715271,0.547349333763123,0.0329628810286522
Belize,0.47,2017,17.189877,-88.49765,0.907975316047668,0.450191766023636,0.0965810716152191
Japan,0.46,2017,36.204824,138.252924,1.41691517829895,0.913475871086121,0.163760736584663
Lithuania,0.46,2017,55.169438,23.881275,1.31458234786987,0.62894994020462,0.0118656428530812
Algeria,0.45,2017,28.033886,1.659626,1.09186446666718,0.617584645748138,0.146096110343933
Latvia,0.44,2017,56.879635,24.603189,1.26074862480164,0.638566970825195,0.0738427266478539
South Korea,0.44,2017,35.907757,127.766922,1.40167844295502,0.900214076042175,0.0632826685905457
Moldova,0.44,2017,47.411631,28.369885,0.728870630264282,0.589465200901031,0.0100912861526012
Romania,0.44,2017,45.943161,24.96676,1.21768391132355,0.685158312320709,0.00438790069893
Bolivia,0.44,2017,-16.290154,-63.588653,0.833756566047668,0.473630249500275,0.0604777261614799
Turkmenistan,0.44,2017,38.969719,59.556278,1.13077676296234,0.437726080417633,0.259270340204239
Kazakhstan,0.43,2017,48.019573,66.923684,1.28455626964569,0.606041550636292,0.119282886385918
Slovenia,0.42,2017,46.151241,14.995463,1.3412059545517,0.790828227996826,0.0451289787888527
Peru,0.41,2017,-9.189967,-75.015152,1.03522527217865,0.630166113376617,0.0470490865409374
Mauritius,0.39,2017,-20.348404,57.552152,1.18939554691315,0.638007462024689,0.0421815551817417
Cyprus,0.39,2017,35.126413,33.429859,1.35593807697296,0.84471470117569,0.0412379764020443
Estonia,0.38,2017,58.595272,25.013607,1.32087934017181,0.695168316364288,0.183248922228813
Belarus,0.37,2017,53.709807,27.953389,1.15655755996704,0.637714266777039,0.156313821673393
Libya,0.36,2017,26.3351,17.228331,1.10180306434631,0.520169019699097,0.0926102101802826
Turkey,0.36,2017,38.963745,35.243322,1.19827437400818,0.637605607509613,0.0996715798974037
Paraguay,0.36,2017,-23.442503,-58.443832,0.932537317276001,0.579250693321228,0.091065913438797
Philippines,0.34,2017,12.879721,121.774017,0.85769921541214,0.468009054660797,0.0993318930268288
Serbia,0.34,2017,44.016521,21.005859,1.06931757926941,0.65078467130661,0.0409037806093693
Jordan,0.32,2017,30.585164,36.238414,0.991012394428253,0.604590058326721,0.11980327218771
Hungary,0.32,2017,47.162494,19.503304,1.2860119342804,0.687763452529907,0.0366369374096394
Jamaica,0.32,2017,18.109581,-77.297508,0.925579309463501,0.641022384166718,0.0552677810192108
Croatia,0.32,2017,45.1,15.2,1.22255623340607,0.701288521289825,0.0431031100451946
Kosovo,0.31,2017,42.602636,20.902977,0.951484382152557,0.541452050209045,0.0574716180562973
China,0.31,2017,35.86166,104.195397,1.08116579055786,0.741415500640869,0.0227942746132612
Pakistan,0.31,2017,30.375321,69.345116,0.72688353061676,0.402047783136368,0.124348066747189
Indonesia,0.31,2017,-0.789275,113.921327,0.995538592338562,0.492345720529556,0.0153171354904771
Venezuela,0.31,2017,6.42375,-66.58973,1.12843120098114,0.617144227027893,0.0644911229610443
Montenegro,0.3,2017,42.708678,19.37439,1.12112903594971,0.667464673519135,0.0881741940975189
Morocco,0.3,2017,31.791702,-7.09262,0.878114581108093,0.59771066904068,0.0877631828188896
Azerbaijan,0.3,2017,40.143105,47.576927,1.15360176563263,0.540775775909424,0.180987507104874
Dominican Republic,0.3,2017,18.735693,-70.162651,1.07937383651733,0.574873745441437,0.113945253193378
Greece,0.3,2017,39.074208,21.824312,1.28948748111725,0.810198903083801,0.04328977689147
Lebanon,0.3,2017,33.854721,35.862285,1.07498753070831,0.735081076622009,0.037513829767704
Portugal,0.3,2017,39.399872,-8.224454,1.3151752948761,0.795843541622162,0.0158694516867399
Bosnia and Herzegovina,0.29,2017,43.915886,17.679076,0.982409417629242,0.705186307430267,0.0
Honduras,0.29,2017,15.199999,-86.241905,0.730573117733002,0.582569479942322,0.0733454525470734
Macedonia [FYROM],0.29,2017,41.608635,21.745275,1.06457793712616,0.644948184490204,0.0602777935564518
Somalia,0.29,2017,5.152149,46.199616,0.0226431842893362,0.113989137113094,0.282410323619843
Vietnam,0.27,2017,14.058324,108.277199,0.788547575473785,0.652168989181519,0.0876332372426987
Nigeria,0.27,2017,9.081999,8.675277,0.783756256103516,0.0569157302379608,0.0261215660721064
Tajikistan,0.27,2017,38.861034,71.276093,0.524713635444641,0.529235124588013,0.146377146244049
Bhutan,0.26,2017,27.514162,90.433601,0.885416388511658,0.495879292488098,0.173380389809608
Kyrgyzstan,0.26,2017,41.20438,74.766098,0.596220076084137,0.553457796573639,0.0394391790032387
Nepal,0.25,2017,28.394857,84.124008,0.479820191860199,0.504130780696869,0.0729755461215973
Mongolia,0.25,2017,46.862496,103.846656,1.02723586559296,0.557783484458923,0.0329022891819477
South Africa,0.23,2017,-30.559482,22.937506,1.05469870567322,0.187080070376396,0.0725094974040985
Tunisia,0.22,2017,33.886917,9.537499,1.00726580619812,0.613212049007416,0.0867231488227844
Palestinian Territories,0.22,2017,31.952162,35.233154,0.716249227523804,0.565666973590851,0.0892826020717621
Egypt,0.21,2017,26.820553,30.802498,0.989701807498932,0.520187258720398,0.114381365478039
Bulgaria,0.21,2017,42.733883,25.48583,1.1614590883255,0.708217680454254,0.0110515309497714
Sierra Leone,0.21,2017,8.460555,-11.779889,0.36842092871666,0.0055647538974881,0.0710951760411263
Cameroon,0.21,2017,7.369722,12.354722,0.564305365085602,0.132892116904259,0.0513066314160824
Iran,0.2,2017,32.427908,53.688046,1.15687310695648,0.639333188533783,0.048761073499918
Albania,0.2,2017,41.153332,20.168331,0.996192753314972,0.731159746646881,0.0398642159998417
Bangladesh,0.19,2017,23.684994,90.356331,0.586682975292206,0.533241033554077,0.123717859387398
Namibia,0.19,2017,-22.95764,18.49041,0.964434325695038,0.33861181139946,0.0931469723582268
Kenya,0.18,2017,-0.023559,37.906193,0.560479462146759,0.309988349676132,0.0646413192152977
Mozambique,0.18,2017,-18.665695,35.529562,0.234305649995804,0.106654435396194,0.179436385631561
Myanmar [Burma],0.18,2017,21.913965,95.956223,0.367110550403595,0.397522568702698,0.188816204667091
Senegal,0.18,2017,14.497401,-14.452362,0.479309022426605,0.409362852573395,0.115460447967052
Zambia,0.18,2017,-13.133897,27.849332,0.636406779289246,0.257835894823074,0.0782135501503944
Iraq,0.17,2017,33.223191,43.679291,1.10271048545837,0.501180469989777,0.107215754687786
Gabon,0.17,2017,-0.803689,11.609444,1.1982102394104,0.356578588485718,0.0760467872023582
Ethiopia,0.17,2017,9.145,40.489673,0.339233845472336,0.353409707546234,0.165455713868141
Sri Lanka,0.17,2017,7.873054,80.771797,1.00985014438629,0.625130832195282,0.0736539661884308
Armenia,0.16,2017,40.069099,45.038189,0.900596737861633,0.637524425983429,0.0266744215041399
India,0.15,2017,20.593684,78.96288,0.792221248149872,0.455427616834641,0.0922268852591515
Mauritania,0.15,2017,21.00789,-10.940835,0.648457288742065,0.285349279642105,0.136957004666328
Congo [Republic],0.15,2017,-0.228021,15.827659,0.808964252471924,0.28995743393898,0.0796181336045265
Georgia,0.14,2017,42.315407,43.356892,0.950612664222717,0.649546980857849,0.251666635274887
Congo [DRC],0.14,2017,-4.038333,21.758664,0.0921023488044739,0.191407024860382,0.0602413564920425
Mali,0.13,2017,17.570692,-3.996166,0.476180493831635,0.169365674257278,0.104970246553421
C?te d'Ivoire,0.13,2017,7.539989,-5.54708,0.603048920631409,0.0486421696841717,0.130061775445938
Cambodia,0.13,2017,12.565679,104.990963,0.601765096187592,0.429783403873444,0.0681059509515762
Sudan,0.13,2017,12.862807,30.217636,0.65951669216156,0.290920823812485,0.089847519993782
Ghana,0.12,2017,7.946527,-1.023194,0.667224824428558,0.295637726783752,0.0253363698720932
Ukraine,0.12,2017,48.379433,31.16558,0.89465194940567,0.575903952121735,0.0230294708162546
Uganda,0.12,2017,1.373333,32.290275,0.381430715322495,0.217632606625557,0.057069718837738
Burkina Faso,0.11,2017,12.238333,-1.561593,0.3502277135849,0.215844258666039,0.120328105986118
Niger,0.11,2017,17.607789,8.081666,0.161925330758095,0.26850500702858,0.138572946190834
Malawi,0.11,2017,-13.254308,34.301525,0.233442038297653,0.315089583396912,0.0727116540074348
Chad,0.1,2017,15.454166,18.732207,0.438012987375259,0.0411347150802612,0.0535818822681904
Zimbabwe,0.09,2017,-19.015438,29.154857,0.375846534967422,0.196763753890991,0.0953753814101219
Lesotho,0.09,2017,-29.609988,28.233608,0.521021246910095,0.0,0.119094640016556
Angola,0.09,2017,-11.202692,17.873887,0.858428180217743,0.0498686656355858,0.0697203353047371
Afghanistan,0.09,2017,33.93911,67.709953,0.401477217674255,0.180746778845787,0.0611578300595284
Botswana,0.08,2017,-22.328474,24.684866,1.12209415435791,0.341755509376526,0.0985831990838051
Benin,0.07,2017,9.30769,2.315834,0.431085407733917,0.209930211305618,0.0609290152788162
Madagascar,0.07,2017,-18.766947,46.869107,0.305808693170547,0.375223308801651,0.0672319754958153
Haiti,0.07,2017,18.971187,-72.285215,0.368610262870789,0.277321130037308,0.0998721495270729
Yemen,0.07,2017,15.552727,48.516388,0.591683447360992,0.310080915689468,0.0567674227058887
Liberia,0.06,2017,6.428055,-9.429499,0.119041793048382,0.229918196797371,0.0389482490718365
Guinea,0.06,2017,9.945587,-9.696645,0.244549930095673,0.194129139184952,0.110937617719173
Togo,0.06,2017,8.619543,0.824782,0.305444717407227,0.247105568647385,0.0956650152802467
Rwanda,0.05,2017,-1.940278,29.873888,0.368745893239975,0.326424807310104,0.455220013856888
Syria,0.05,2017,34.802075,38.996815,0.777153134346008,0.50053334236145,0.151347130537033
Tanzania,0.04,2017,-6.369028,34.888822,0.511135876178741,0.364509284496307,0.0660351067781448
Burundi,0.01,2017,-3.373056,29.918886,0.091622568666935,0.151610791683197,0.0841479450464249
Central African Republic,0.0,2017,6.611111,20.939444,0.0,0.0187726859003305,0.0565650761127472
Denmark,1.0,2016,56.26392,9.501785,1.44178,0.79504,0.44453
Switzerland,0.99,2016,46.818188,8.227512,1.52733,0.86303,0.41203
Iceland,0.99,2016,64.963051,-19.020835,1.42666,0.86733,0.14975
Norway,0.99,2016,60.472024,8.468946,1.57744,0.79579,0.35776
Finland,0.95,2016,61.92411,25.748151,1.40598,0.81091,0.41004
Canada,0.95,2016,56.130366,-106.346771,1.44015,0.8276,0.31329
Netherlands,0.92,2016,52.132633,5.291266,1.46468,0.81231,0.29927
New Zealand,0.92,2016,-40.900557,174.885971,1.36066,0.83096,0.41904
Australia,0.91,2016,-25.274398,133.775136,1.44443,0.8512,0.32331
Sweden,0.9,2016,60.128161,18.643501,1.45181,0.83121,0.40867
Israel,0.89,2016,31.046051,34.851612,1.33766,0.84917,0.08728
Austria,0.84,2016,47.516231,14.550072,1.45038,0.80565,0.21348
United States,0.83,2016,37.09024,-95.712891,1.50796,0.779,0.14868
Costa Rica,0.82,2016,9.748917,-83.753428,1.06879,0.76146,0.10547
Puerto Rico,0.81,2016,18.220833,-66.590149,1.35943,0.77758,0.12275
Germany,0.79,2016,51.165691,10.451526,1.44787,0.81487,0.28551
Brazil,0.78,2016,-14.235004,-51.92528,1.08754,0.61415,0.14166
Belgium,0.77,2016,50.503887,4.469936,1.42539,0.81959,0.26248
Ireland,0.76,2016,53.41291,-8.24389,1.48341,0.81455,0.29754
Luxembourg,0.75,2016,49.815273,6.129583,1.69752,0.84542,0.35329
Mexico,0.71,2016,23.634501,-102.552784,1.11508,0.71143,0.18355
Singapore,0.7,2016,1.352083,103.819836,1.64555,0.94719,0.46987
United Kingdom,0.7,2016,55.378051,-3.435973,1.40283,0.80991,0.27399
Chile,0.69,2016,-35.675147,-71.542969,1.2167,0.81883,0.11451
Panama,0.69,2016,8.537981,-80.782127,1.18306,0.70835,0.08423
Argentina,0.67,2016,-38.416097,-63.616672,1.15137,0.69711,0.07296
Czech Republic,0.65,2016,49.817492,15.472962,1.30915,0.76376,0.03986
United Arab Emirates,0.65,2016,23.424076,53.847818,1.57352,0.72993,0.35561
Uruguay,0.64,2016,-32.522779,-55.765835,1.18157,0.72183,0.21394
Malta,0.62,2016,35.937496,14.375416,1.30782,0.80315,0.17554
Colombia,0.62,2016,4.570868,-74.297333,1.03032,0.59659,0.05399
France,0.62,2016,46.227638,2.213749,1.39488,0.83795,0.17808
Thailand,0.61,2016,15.870032,100.992541,1.0893,0.64915,0.02833
Saudi Arabia,0.59,2016,23.885942,45.079162,1.48953,0.59267,0.30008
Taiwan,0.59,2016,23.69781,120.960515,1.39729,0.79565,0.0663
Qatar,0.58,2016,25.354826,51.183884,1.82427,0.71723,0.48049
Spain,0.58,2016,40.463667,-3.74922,1.34253,0.87896,0.06137
Algeria,0.58,2016,28.033886,1.659626,1.05266,0.61804,0.16157
Guatemala,0.57,2016,15.783471,-90.230759,0.83454,0.54039,0.08701
Suriname,0.55,2016,3.919305,-56.027783,1.09686,0.50933,0.12692
Kuwait,0.54,2016,29.31166,47.481766,1.61714,0.63569,0.23669
Bahrain,0.54,2016,25.930414,50.637772,1.44024,0.65696,0.25772
Trinidad and Tobago,0.52,2016,10.691803,-61.222503,1.32572,0.52608,0.01241
Venezuela,0.5,2016,6.42375,-66.58973,1.13367,0.61904,0.08304
Slovakia,0.5,2016,48.669026,19.699024,1.27973,0.70367,0.02947
El Salvador,0.5,2016,13.794185,-88.89653,0.8737,0.596,0.10613
Malaysia,0.48,2016,4.210484,101.975766,1.25142,0.62366,0.09081
Nicaragua,0.47,2016,12.865416,-85.207229,0.69384,0.65213,0.16292
Uzbekistan,0.47,2016,41.377491,64.585262,0.73591,0.50163,0.28333
Italy,0.47,2016,41.87194,12.56738,1.35495,0.85102,0.02556
Ecuador,0.47,2016,-1.831239,-78.183406,0.97306,0.68613,0.18037
Belize,0.46,2016,17.189877,-88.49765,0.87616,0.45569,0.10771
Japan,0.46,2016,36.204824,138.252924,1.38007,0.91491,0.18985
Kazakhstan,0.46,2016,48.019573,66.923684,1.22943,0.57386,0.11132
Moldova,0.45,2016,47.411631,28.369885,0.69177,0.52309,0.01903
Russia,0.44,2016,61.52401,105.318756,1.23228,0.58991,0.03586
Poland,0.43,2016,51.919438,19.145136,1.24585,0.69058,0.055
South Korea,0.43,2016,35.907757,127.766922,1.35948,0.88645,0.07716
Bolivia,0.43,2016,-16.290154,-63.588653,0.79422,0.4697,0.07746
Lithuania,0.43,2016,55.169438,23.881275,1.2692,0.64674,0.0182
Belarus,0.43,2016,53.709807,27.953389,1.13062,0.63104,0.17457
Slovenia,0.42,2016,46.151241,14.995463,1.29947,0.79151,0.03635
Peru,0.41,2016,-9.189967,-75.015152,0.99602,0.62994,0.05292
Turkmenistan,0.39,2016,38.969719,59.556278,1.08017,0.44006,0.28467
Mauritius,0.39,2016,-20.348404,57.552152,1.14372,0.66189,0.05203
Libya,0.38,2016,26.3351,17.228331,1.06688,0.52304,0.10339
Latvia,0.37,2016,56.879635,24.603189,1.21788,0.63952,0.0889
Cyprus,0.36,2016,35.126413,33.429859,1.31857,0.8488,0.05228
Paraguay,0.36,2016,-23.442503,-58.443832,0.89373,0.58295,0.07396
Romania,0.36,2016,45.943161,24.96676,1.1697,0.67602,0.00679
Estonia,0.36,2016,58.595272,25.013607,1.27964,0.68098,0.18519
Jamaica,0.36,2016,18.109581,-77.297508,0.89333,0.59469,0.04294
Croatia,0.35,2016,45.1,15.2,1.18649,0.70524,0.04002
Hong Kong,0.34,2016,22.396428,114.109497,1.5107,0.95277,0.31647
Somalia,0.34,2016,5.152149,46.199616,0.0,0.11466,0.3118
Kosovo,0.33,2016,42.602636,20.902977,0.90145,0.54,0.06547
Turkey,0.33,2016,38.963745,35.243322,1.16492,0.64718,0.12348
Indonesia,0.31,2016,-0.789275,113.921327,0.95104,0.49374,0.00322
Jordan,0.31,2016,30.585164,36.238414,0.99673,0.60712,0.13297
Azerbaijan,0.31,2016,40.143105,47.576927,1.12373,0.54504,0.17914
Philippines,0.31,2016,12.879721,121.774017,0.81217,0.47036,0.11757
China,0.3,2016,35.86166,104.195397,1.0278,0.73561,0.02745
Bhutan,0.29,2016,27.514162,90.433601,0.8527,0.49759,0.1616
Kyrgyzstan,0.29,2016,41.20438,74.766098,0.56044,0.55449,0.04762
Serbia,0.28,2016,44.016521,21.005859,1.03437,0.6458,0.04339
Bosnia and Herzegovina,0.28,2016,43.915886,17.679076,0.93383,0.70766,0.0
Montenegro,0.28,2016,42.708678,19.37439,1.07838,0.63533,0.12721
Dominican Republic,0.28,2016,18.735693,-70.162651,1.02787,0.57669,0.12372
Morocco,0.28,2016,31.791702,-7.09262,0.84058,0.59471,0.08404
Hungary,0.28,2016,47.162494,19.503304,1.24142,0.67608,0.04472
Pakistan,0.28,2016,30.375321,69.345116,0.68816,0.40306,0.1388
Lebanon,0.27,2016,33.854721,35.862285,1.12268,0.76171,0.03061
Portugal,0.27,2016,39.399872,-8.224454,1.27607,0.79363,0.01521
Macedonia [FYROM],0.27,2016,41.608635,21.745275,1.0193,0.64738,0.07047
Vietnam,0.26,2016,14.058324,108.277199,0.74037,0.66157,0.11556
Tunisia,0.26,2016,33.886917,9.537499,0.97724,0.59577,0.0817
Greece,0.26,2016,39.074208,21.824312,1.24886,0.80029,0.04127
Tajikistan,0.25,2016,38.861034,71.276093,0.48835,0.53119,0.13509
Mongolia,0.23,2016,46.862496,103.846656,0.98853,0.55469,0.03285
Laos,0.23,2016,19.85627,102.495496,0.68042,0.38291,0.22423
Nigeria,0.23,2016,9.081999,8.675277,0.75216,0.05108,0.0305
Honduras,0.23,2016,15.199999,-86.241905,0.69429,0.58383,0.06906
Iran,0.22,2016,32.427908,53.688046,1.11758,0.64232,0.0557
Zambia,0.21,2016,-13.133897,27.849332,0.61202,0.23573,0.11479
Nepal,0.21,2016,28.394857,84.124008,0.44626,0.50073,0.07008
Palestinian Territories,0.21,2016,31.952162,35.233154,0.67024,0.56844,0.10613
Albania,0.19,2016,41.153332,20.168331,0.9553,0.73007,0.05301
Bangladesh,0.19,2016,23.684994,90.356331,0.54177,0.52989,0.12583
Sierra Leone,0.19,2016,8.460555,-11.779889,0.36485,0.0,0.08196
Iraq,0.18,2016,33.223191,43.679291,1.07474,0.51076,0.13636
Namibia,0.18,2016,-22.95764,18.49041,0.93287,0.34745,0.10398
Cameroon,0.17,2016,7.369722,12.354722,0.52497,0.12698,0.06126
Ethiopia,0.17,2016,9.145,40.489673,0.29283,0.34578,0.1717
South Africa,0.16,2016,-30.559482,22.937506,1.02416,0.18611,0.08415
Sri Lanka,0.15,2016,7.873054,80.771797,0.97318,0.62007,0.07964
India,0.15,2016,20.593684,78.96288,0.74036,0.45091,0.08722
Myanmar [Burma],0.15,2016,21.913965,95.956223,0.34112,0.3988,0.20243
Egypt,0.15,2016,26.820553,30.802498,0.95395,0.52116,0.10393
Armenia,0.15,2016,40.069099,45.038189,0.86086,0.64083,0.03616
Kenya,0.14,2016,-0.023559,37.906193,0.52267,0.30147,0.06686
Ukraine,0.14,2016,48.379433,31.16558,0.87287,0.58628,0.01829
Ghana,0.13,2016,7.946527,-1.023194,0.63107,0.29681,0.0326
Congo [DRC],0.13,2016,-4.038333,21.758664,0.05661,0.188,0.06075
Georgia,0.13,2016,42.315407,43.356892,0.83792,0.64035,0.3188
Congo [Republic],0.13,2016,-0.228021,15.827659,0.77109,0.28212,0.09753
Senegal,0.13,2016,14.497401,-14.452362,0.44314,0.40457,0.11681
Bulgaria,0.13,2016,42.733883,25.48583,1.11306,0.67806,0.00615
Mauritania,0.12,2016,21.00789,-10.940835,0.61391,0.28639,0.17955
Zimbabwe,0.12,2016,-19.015438,29.154857,0.35041,0.1595,0.08582
Malawi,0.12,2016,-13.254308,34.301525,0.08709,0.29364,0.07564
Sudan,0.12,2016,12.862807,30.217636,0.63069,0.29759,0.10039
Gabon,0.11,2016,-0.803689,11.609444,1.15851,0.3494,0.09314
Mali,0.11,2016,17.570692,-3.996166,0.31292,0.16347,0.13647
Haiti,0.1,2016,18.971187,-72.285215,0.34097,0.27494,0.14476
Botswana,0.1,2016,-22.328474,24.684866,1.09426,0.34752,0.10769
Comoros,0.09,2016,-11.875001,43.872219,0.27509,0.29981,0.18437
C?te d'Ivoire,0.09,2016,7.539989,-5.54708,0.55507,0.04476,0.1553
Cambodia,0.09,2016,12.565679,104.990963,0.55604,0.42494,0.08092
Angola,0.08,2016,-11.202692,17.873887,0.84731,0.04991,0.08434
Niger,0.08,2016,17.607789,8.081666,0.1327,0.26162,0.17176
Chad,0.07,2016,15.454166,18.732207,0.42214,0.03824,0.04952
Burkina Faso,0.07,2016,12.238333,-1.561593,0.31995,0.21297,0.12533
Uganda,0.07,2016,1.373333,32.290275,0.34719,0.19625,0.06442
Yemen,0.07,2016,15.552727,48.516388,0.57939,0.31048,0.05892
Madagascar,0.06,2016,-18.766947,46.869107,0.27954,0.37109,0.07506
Tanzania,0.06,2016,-6.369028,34.888822,0.47155,0.357,0.05099
Liberia,0.06,2016,6.428055,-9.429499,0.10706,0.23165,0.04852
Guinea,0.06,2016,9.945587,-9.696645,0.22415,0.18829,0.1192
Rwanda,0.05,2016,-1.940278,29.873888,0.32846,0.31865,0.50521
Benin,0.04,2016,9.30769,2.315834,0.39499,0.21028,0.06681
Afghanistan,0.03,2016,33.93911,67.709953,0.38227,0.17344,0.07112
Togo,0.03,2016,8.619543,0.824782,0.28123,0.24811,0.11587
Syria,0.01,2016,34.802075,38.996815,0.74719,0.62994,0.17233
Burundi,0.0,2016,-3.373056,29.918886,0.06831,0.15747,0.09419
